600c7adef73a5143dfacac59f437fe4ba85bdf65
Benchmark                                                            Mode   Samples         Mean   Mean error    Units
n.q.s.b.Benchmark.benchLargeCsvFromFileCsvReaderXMultiLine           avgt        30     3499.105       21.795    ms/op
n.q.s.b.Benchmark.benchLargeCsvFromFileCsvReaderSimple               avgt        30     3105.821        9.360    ms/op  3499 / 3105 = 1.13

n.q.s.b.Benchmark.benchLargeCsvFromFileMultiLine                     avgt        30     3517.562       23.274    ms/op
n.q.s.b.Benchmark.benchLargeCsvFromFileSimple                        avgt        30     3152.774       19.723    ms/op  = 1.12

n.q.s.b.Benchmark.benchLargeCsvFromFileMultiLineStrictQuotesTrim     avgt        30     3392.038       24.194    ms/op
n.q.s.b.Benchmark.benchLargeCsvFromFileSimpleStrictQuotesTrim        avgt        30     2961.626        8.417    ms/op  = 1.15

n.q.s.b.Benchmark.benchSmallCsvFromFileMultiLine                     avgt        30     1761.167      298.493    us/op
n.q.s.b.Benchmark.benchSmallCsvFromFileSimple                        avgt        30     1673.374      347.936    us/op

n.q.s.b.Benchmark.benchSmallCsvFromFileMultiLineStrictQuotesTrim     avgt        30     1531.915      229.787    us/op
n.q.s.b.Benchmark.benchSmallCsvFromFileSimpleStrictQuotesTrim        avgt        30     1613.274      274.285    us/op

n.q.s.b.Benchmark.benchLongInMemoryStringMultiLine                   avgt        30       15.455        0.834    us/op
n.q.s.b.Benchmark.benchLongInMemoryStringSimple                      avgt        30       12.368        0.942    us/op  = 1.25

n.q.s.b.Benchmark.benchRetainQuotesTrimWhitespaceMultiLine           avgt        30     1218.601       88.806    ns/op
n.q.s.b.Benchmark.benchRetainQuotesTrimWhitespaceSimple              avgt        30     1151.042      144.009    ns/op

n.q.s.b.Benchmark.benchStrictQuotesTrimWhitespaceMultiLine           avgt        30     1311.430       99.017    ns/op
n.q.s.b.Benchmark.benchStrictQuotesTrimWhitespaceSimple              avgt        30     1190.112      165.143    ns/op


5784f79a48abd502133770a8a80d8ed0dd442424 (String[])
Benchmark                                                            Mode   Samples         Mean   Mean error    Units
n.q.s.b.Benchmark.benchLargeCsvFromFileCsvReaderXMultiLine           avgt        30     3647.687       17.458    ms/op
n.q.s.b.Benchmark.benchLargeCsvFromFileCsvReaderSimple               avgt        30     3204.380        8.182    ms/op

n.q.s.b.Benchmark.benchLargeCsvFromFileMultiLine                     avgt        30     3615.407       69.172    ms/op
n.q.s.b.Benchmark.benchLargeCsvFromFileSimple                        avgt        30     3159.722       62.058    ms/op

n.q.s.b.Benchmark.benchLargeCsvFromFileMultiLineStrictQuotesTrim     avgt        30     3416.972      100.887    ms/op
n.q.s.b.Benchmark.benchLargeCsvFromFileSimpleStrictQuotesTrim        avgt        30     2992.283       13.765    ms/op

n.q.s.b.Benchmark.benchLongInMemoryStringMultiLine                   avgt        30       18.401        2.716    us/op
n.q.s.b.Benchmark.benchLongInMemoryStringSimple                      avgt        30       12.026        0.811    us/op

n.q.s.b.Benchmark.benchSmallCsvFromFileMultiLine                     avgt        30     1804.425      293.693    us/op
n.q.s.b.Benchmark.benchSmallCsvFromFileSimple                        avgt        30     1686.084      330.787    us/op

n.q.s.b.Benchmark.benchSmallCsvFromFileMultiLineStrictQuotesTrim     avgt        30     1769.360      315.894    us/op
n.q.s.b.Benchmark.benchSmallCsvFromFileSimpleStrictQuotesTrim        avgt        30     1530.883      275.947    us/op

n.q.s.b.Benchmark.benchRetainQuotesTrimWhitespaceMultiLine           avgt        30     1460.503      122.625    ns/op
n.q.s.b.Benchmark.benchRetainQuotesTrimWhitespaceSimple              avgt        30     1119.972      147.461    ns/op

n.q.s.b.Benchmark.benchStrictQuotesTrimWhitespaceMultiLine           avgt        30     1447.057      107.228    ns/op
n.q.s.b.Benchmark.benchStrictQuotesTrimWhitespaceSimple              avgt        30     1142.341       97.669    ns/op


